source_ticker,ticker,asset_type,date,close,trend_score,momentum_score,risk_penalty,composite_score,decision,rank_overall,rank_within_asset_type,ret_20d,ret_60d,ret_120d,ret_252d,volatility_20d,volatility_60d,dist_from_52w_high,dist_from_52w_low,is_active,source,decision_reason,confidence,regime,risk_level,horizon_days
MRK.US,MRK,stock,2026-04-02,120.87,28.22222222222222,36.22222222222223,-3.333333333333333,61.11111111111112,BUY,1,1,0.04135435513052488,0.1102232019840177,0.3813714285714287,0.3873966942148761,0.00955014476594131,0.014844893591398426,-0.024691358024691357,0.6451612903225807,True,sp500_core,Strong cross-sectional trend and momentum with manageable volatility,90,TRENDING,LOW,60
USO.US,USO,etf,2026-04-02,137.92,30.0,39.22222222222222,-9.666666666666668,59.55555555555556,BUY,2,1,0.43144784639335754,1.0131367683549843,0.9020824713832571,0.7893098079916969,0.054288274621388355,0.0365342401507962,0.0,1.211319544652878,True,etf_core,Strong cross-sectional trend and momentum with manageable volatility,75,MIXED,HIGH,30
DBC.US,DBC,etf,2026-04-02,29.33,28.66666666666667,36.666666666666664,-6.111111111111111,59.22222222222223,BUY,3,2,0.10637495284798182,0.28640350877192966,0.3006651884700664,0.3029764549089291,0.018894618348694298,0.0157684428746922,0.0,0.45486111111111094,True,etf_core,Strong cross-sectional trend and momentum with manageable volatility,82,MIXED,MEDIUM,60
INTC.US,INTC,stock,2026-04-02,50.38,29.444444444444446,38.666666666666664,-9.88888888888889,58.22222222222223,BUY,4,2,0.09736440862557183,0.25824175824175843,0.3328042328042329,1.284807256235828,0.046792949450588185,0.05061953537831322,-0.07253313696612662,1.7788196359624933,True,sp500_core,Strong cross-sectional trend and momentum with manageable volatility,75,MIXED,HIGH,30
WMT.US,WMT,stock,2026-04-02,125.79,26.555555555555557,35.33333333333333,-4.0,57.888888888888886,BUY,5,3,0.020029192345118574,0.10013993353157247,0.23602240345877967,0.41607565011820347,0.010737968394699718,0.016180561729945628,-0.060497423257898086,0.5379630761706811,True,sp500_core,Strong cross-sectional trend and momentum with manageable volatility,82,TRENDING,MEDIUM,60
XLE.US,XLE,etf,2026-04-02,59.25,25.888888888888893,36.44444444444444,-4.777777777777779,57.55555555555556,BUY,6,3,0.04885820499203386,0.2982033304119194,0.361784086547412,0.292666164872206,0.014115938702197945,0.013451048358110885,-0.05290920716112535,0.5896139853836,True,etf_core,Strong cross-sectional trend and momentum with manageable volatility,82,MIXED,MEDIUM,60
XOM.US,XOM,stock,2026-04-02,160.69,26.77777777777778,37.44444444444444,-6.722222222222222,57.50000000000001,BUY,7,4,0.06586627752719565,0.3274679884345313,0.4231688955805508,0.34988239247311825,0.018441095289367368,0.01809396816398281,-0.06286814019945186,0.6080256179325527,True,sp500_core,Strong cross-sectional trend and momentum with manageable volatility,82,MIXED,MEDIUM,60
NEE.US,NEE,stock,2026-04-02,93.15,26.444444444444443,34.111111111111114,-3.444444444444444,57.111111111111114,BUY,8,5,0.02216613628881836,0.14929056138186314,0.11277027834189468,0.3134517766497462,0.010941303789233909,0.012886053021561053,-0.02644230769230771,0.4529714553111841,True,sp500_core,Strong cross-sectional trend and momentum with manageable volatility,90,TRENDING,LOW,60
CAT.US,CAT,stock,2026-04-02,717.22,27.333333333333336,37.888888888888886,-8.555555555555555,56.66666666666667,BUY,9,6,0.015777249036936336,0.1510696689081834,0.4334079462786793,1.1696463683939862,0.02533155883667967,0.024521927493226164,-0.07455483870967738,1.6181645615828284,True,sp500_core,Strong cross-sectional trend and momentum with manageable volatility,75,MIXED,HIGH,30
LIN.US,LIN,stock,2026-04-02,502.6,26.88888888888889,30.88888888888889,-3.7222222222222223,54.05555555555556,BUY,10,7,0.0257142857142858,0.14969347607283368,0.09699668238170078,0.07602389261170228,0.012138503856348517,0.012151811144524337,-0.013232811088859986,0.29076994195901174,True,sp500_core,Strong cross-sectional trend and momentum with manageable volatility,95,TRENDING,LOW,60
COST.US,COST,stock,2026-04-02,1014.96,25.555555555555557,30.111111111111114,-2.7777777777777777,52.88888888888889,HOLD,11,8,0.03423820004891165,0.14155887976605563,0.07643521513644225,0.06345347862531447,0.009078670616511667,0.012414640213405513,-0.03963665610067646,0.19407058823529422,True,sp500_core,Above-average factor profile with balanced trend and risk,75,TRENDING,LOW,60
XLB.US,XLB,etf,2026-04-02,50.41,25.444444444444446,31.11111111111111,-3.833333333333333,52.72222222222222,HOLD,12,4,-0.0082628369073382,0.061263157894736686,0.14288953125885606,0.18585815339231626,0.012180149408320603,0.012374053521736482,-0.05986572174561733,0.3779360753559644,True,etf_core,Above-average factor profile with balanced trend and risk,70,MIXED,LOW,60
KO.US,KO,stock,2026-04-02,76.72,23.0,30.555555555555554,-2.166666666666666,51.38888888888889,HOLD,13,9,-0.004024406075554987,0.13089622641509435,0.15594395058008126,0.06748295533602322,0.008063433216535255,0.010623032043104514,-0.059342815105443925,0.1682655702756204,True,sp500_core,Above-average factor profile with balanced trend and risk,70,MIXED,LOW,60
VLUE.US,VLUE,etf,2026-04-02,145.22,22.88888888888889,31.0,-4.055555555555555,49.83333333333333,HOLD,14,5,-0.016324595271963616,0.014956667598546192,0.15400508582326755,0.36318407960199006,0.013199895337458387,0.01169987321212234,-0.05022890778286471,0.5531550802139038,True,etf_core,Above-average factor profile with balanced trend and risk,57,MIXED,MEDIUM,60
XLU.US,XLU,etf,2026-04-02,46.34,23.333333333333332,29.22222222222222,-2.7777777777777777,49.77777777777778,HOLD,15,6,-0.012150927307610138,0.07993474714518767,0.030969119871852024,0.19742220890030437,0.010910658199316907,0.010325770815306745,-0.02912214540121505,0.2950645575987929,True,etf_core,Above-average factor profile with balanced trend and risk,65,MIXED,LOW,60
CSCO.US,CSCO,stock,2026-04-02,79.02,23.22222222222222,31.11111111111111,-6.944444444444445,47.388888888888886,HOLD,16,10,-0.011990647544980582,0.05037883822942968,0.1295025728987993,0.2786407766990291,0.01756138115694337,0.022906331215644695,-0.08942152569716533,0.48561759729272413,True,sp500_core,Above-average factor profile with balanced trend and risk,57,MIXED,MEDIUM,60
SCHD.US,SCHD,etf,2026-04-02,30.56,20.22222222222222,28.0,-0.8888888888888888,47.333333333333336,HOLD,17,7,-0.0217669654289373,0.08793164827340694,0.1318518518518519,0.09651955507714383,0.004722351017023351,0.007213461849725689,-0.04080351537978655,0.256578947368421,True,etf_core,Above-average factor profile with balanced trend and risk,65,MIXED,LOW,60
AMD.US,AMD,stock,2026-04-02,217.5,27.22222222222222,29.444444444444443,-9.722222222222221,46.94444444444444,HOLD,18,11,0.09049887189771888,0.01469559132260323,-0.06608269998711835,1.1161704611792178,0.03469228272814164,0.04120179657997485,-0.1771649075019861,1.7809742999616418,True,sp500_core,Above-average factor profile with balanced trend and risk,55,RISK_OFF,HIGH,30
HDV.US,HDV,etf,2026-04-02,133.99,19.11111111111111,28.555555555555557,-1.0,46.66666666666667,HOLD,19,8,-0.0183523205978241,0.09926983345639528,0.10361584712956118,0.11185793710065561,0.006355126201716793,0.007046378400466018,-0.04415751177058069,0.23595609261138284,True,etf_core,Above-average factor profile with balanced trend and risk,65,MIXED,LOW,60
PEP.US,PEP,stock,2026-04-02,157.01,22.11111111111111,26.77777777777778,-3.8333333333333335,45.05555555555555,HOLD,20,12,-0.022962041070317296,0.12989349453080012,0.08499758136963576,0.049041224026191044,0.0116799113480609,0.014325099081187474,-0.07906622089272108,0.22644899234494598,True,sp500_core,Above-average factor profile with balanced trend and risk,70,MIXED,LOW,60
HON.US,HON,stock,2026-04-02,229.45,20.0,28.444444444444446,-4.555555555555555,43.888888888888886,HOLD,21,13,-0.03746119640909473,0.11959597931101773,0.19202235983541827,0.15232020891924458,0.01287263711026726,0.014669734251800523,-0.0749475890985325,0.3450930045784164,True,sp500_core,Above-average factor profile with balanced trend and risk,57,MIXED,MEDIUM,60
VYM.US,VYM,etf,2026-04-02,148.11,18.88888888888889,25.666666666666668,-1.4444444444444444,43.111111111111114,HOLD,22,9,-0.02584846093133375,0.009198691741619136,0.055515963511972855,0.15099471557351585,0.008235307874096476,0.007457332322629368,-0.05361022364217238,0.29038159958180887,True,etf_core,Above-average factor profile with balanced trend and risk,65,MIXED,LOW,60
SHY.US,SHY,etf,2026-04-02,82.36,19.111111111111114,23.555555555555554,-0.11111111111111112,42.55555555555556,HOLD,23,10,-0.003990809045833821,-0.006513872135102572,-0.005193863993235959,-0.0014548981571290698,0.001454617508566101,0.0012088461777920697,-0.009858138975715414,0.0018245955479869735,True,etf_core,Above-average factor profile with balanced trend and risk,70,MIXED,LOW,60
DGRO.US,DGRO,etf,2026-04-02,70.31,18.555555555555557,24.888888888888886,-1.0555555555555556,42.388888888888886,HOLD,24,11,-0.026771736377088295,-0.005094099334936986,0.031846199002054654,0.14121084239571502,0.007574815565194184,0.006712494288575206,-0.049993244156195105,0.27327055414704815,True,etf_core,Above-average factor profile with balanced trend and risk,65,MIXED,LOW,60
IWM.US,IWM,etf,2026-04-02,251.29,21.0,26.0,-5.0,42.0,HOLD,25,12,-0.021380169795155335,-0.01870509215870042,0.025129523110186458,0.25953586286401675,0.01584329909346052,0.013227504382400938,-0.06857185218132633,0.4374213476718911,True,etf_core,Above-average factor profile with balanced trend and risk,62,MIXED,MEDIUM,60
RTX.US,RTX,stock,2026-04-02,196.21,17.444444444444446,30.0,-5.666666666666666,41.77777777777778,HOLD,26,14,-0.03752575296772298,0.030514705882352944,0.20982858552225925,0.4769288671433949,0.014692527186753254,0.016662300462190298,-0.07517911010558065,0.724923076923077,True,sp500_core,Above-average factor profile with balanced trend and risk,52,MIXED,MEDIUM,60
AGG.US,AGG,etf,2026-04-02,99.23,18.999999999999996,23.0,-0.3333333333333333,41.666666666666664,HOLD,27,13,-0.010174563591022423,-0.007898420315936683,-0.007898420315936683,0.0027283751010509505,0.00377099873804544,0.0028379182123312173,-0.021400394477317564,0.024891551332369533,True,etf_core,Above-average factor profile with balanced trend and risk,70,MIXED,LOW,60
BND.US,BND,etf,2026-04-02,73.58,18.777777777777775,22.77777777777778,-0.22222222222222224,41.333333333333336,HOLD,28,14,-0.009956942949407854,-0.008088433540037854,-0.008756567425569295,0.0019063180827887383,0.003715132572682933,0.0027947406913217425,-0.02115205534122655,0.023650528658875958,True,etf_core,Above-average factor profile with balanced trend and risk,70,MIXED,LOW,60
AAPL.US,AAPL,stock,2026-04-02,255.92,21.22222222222222,24.333333333333332,-4.611111111111111,40.94444444444444,WATCH,29,15,-0.016637848222862628,-0.02454642475987201,0.008376872581699946,0.1505693951777871,0.012522130494495064,0.015647752237934683,-0.10576889479017437,0.4893617021276595,True,sp500_core,Mixed factor profile; monitor for stronger confirmation,47,MIXED,MEDIUM,30
HYG.US,HYG,etf,2026-04-02,79.56,18.22222222222222,22.666666666666668,-0.5555555555555556,40.33333333333333,WATCH,30,15,-0.006245316012990276,-0.01656365883807176,-0.010693857249440386,0.011056042699199464,0.0050056339034759735,0.003209187278532582,-0.021642892277422443,0.05029702970297034,True,etf_core,Mixed factor profile; monitor for stronger confirmation,55,MIXED,LOW,30
LQD.US,LQD,etf,2026-04-02,109.12,18.666666666666664,21.77777777777778,-0.7222222222222222,39.72222222222222,WATCH,31,16,-0.012935323383084563,-0.012220512356295732,-0.01729106628242072,0.011963275526291506,0.0060078309458370975,0.0040555215837051704,-0.03365214311016651,0.03696664449301523,True,etf_core,Mixed factor profile; monitor for stronger confirmation,50,MIXED,LOW,30
IEF.US,IEF,etf,2026-04-02,95.26,17.333333333333332,21.444444444444443,-0.5,38.27777777777777,WATCH,32,17,-0.01295202569681897,-0.010799584631360215,-0.010902294673450275,-0.0014675052410901834,0.004352622718611444,0.0034840414497583475,-0.027859985712827773,0.02265163714439078,True,etf_core,Mixed factor profile; monitor for stronger confirmation,50,MIXED,LOW,30
GOOGL.US,GOOGL,stock,2026-04-02,295.77,15.666666666666668,29.555555555555557,-7.055555555555555,38.16666666666667,WATCH,33,16,-0.016869151888846523,-0.0590761595724375,0.22456837659918016,0.8830457757687655,0.021866392429335097,0.01702398605484749,-0.1394279728825395,1.0440221147201107,True,sp500_core,Mixed factor profile; monitor for stronger confirmation,25,RISK_OFF,HIGH,30
XLRE.US,XLRE,etf,2026-04-02,41.61,19.88888888888889,20.444444444444446,-2.5,37.833333333333336,WATCH,34,18,-0.04013840830449833,0.02235872235872227,0.011670313639678964,-0.006446991404011504,0.010827205954231056,0.009641218235421025,-0.05302685480200264,0.12216828478964414,True,etf_core,Mixed factor profile; monitor for stronger confirmation,50,MIXED,LOW,30
MTUM.US,MTUM,etf,2026-04-02,245.85,19.22222222222222,24.22222222222222,-5.833333333333334,37.61111111111111,WATCH,35,19,-0.004776747763429623,-0.047499128278641,-0.03979846898922057,0.2003222341568207,0.018374290644840634,0.015486827550882926,-0.05847886029411764,0.3594890510948905,True,etf_core,Mixed factor profile; monitor for stronger confirmation,42,MIXED,MEDIUM,30
NFLX.US,NFLX,stock,2026-04-02,98.66,21.777777777777775,22.444444444444443,-7.222222222222223,36.99999999999999,WATCH,36,17,-0.004942007060010134,0.08836183121897401,-0.1985833461947737,0.06271138973265256,0.017079837137717487,0.025887086082270413,-0.26325300754967784,0.30055365146322166,True,sp500_core,Mixed factor profile; monitor for stronger confirmation,35,RISK_OFF,HIGH,30
JPM.US,JPM,stock,2026-04-02,294.6,19.444444444444446,22.666666666666668,-5.166666666666666,36.94444444444445,WATCH,37,18,0.0035769034236075026,-0.11957203909028413,-0.03577390108990919,0.20906180743659197,0.013361046464839807,0.016140218269611078,-0.11957203909028413,0.4009891573140576,True,sp500_core,Mixed factor profile; monitor for stronger confirmation,42,MIXED,MEDIUM,30
SIZE.US,SIZE,etf,2026-04-02,160.41,17.666666666666668,21.666666666666664,-2.4444444444444446,36.888888888888886,WATCH,38,20,-0.03448898519321053,-0.03842464932262313,-0.0021771584971385094,0.10201978565539971,0.010982976608947195,0.00926822113628009,-0.0536283185840708,0.251736246586032,True,etf_core,Mixed factor profile; monitor for stronger confirmation,50,MIXED,LOW,30
GOOG.US,GOOG,stock,2026-04-02,294.46,14.88888888888889,28.555555555555557,-6.722222222222221,36.72222222222222,WATCH,39,19,-0.021337410263227885,-0.06386901923382615,0.21572189422402044,0.8533484390735144,0.02053406680221164,0.01642121815085272,-0.1462452884894172,1.008868877063719,True,sp500_core,Mixed factor profile; monitor for stronger confirmation,32,MIXED,MEDIUM,30
TXN.US,TXN,stock,2026-04-02,194.87,17.333333333333332,26.555555555555554,-7.5,36.388888888888886,WATCH,40,20,-0.015857784960355503,0.014419573138990227,0.0889025480554313,0.09483678858362832,0.02014467449394358,0.02211377451984965,-0.13987464689265539,0.33830094086944573,True,sp500_core,Mixed factor profile; monitor for stronger confirmation,30,RISK_OFF,HIGH,30
XLI.US,XLI,etf,2026-04-02,163.77,15.666666666666668,24.666666666666664,-4.277777777777778,36.05555555555555,WATCH,41,21,-0.0482914923291492,0.010801135662263928,0.06836714723726289,0.2424702222896593,0.013842176170852722,0.011873642243993116,-0.08457238680827273,0.40671705892458343,True,etf_core,Mixed factor profile; monitor for stronger confirmation,37,MIXED,MEDIUM,30
DIA.US,DIA,etf,2026-04-02,465.06,15.555555555555555,21.11111111111111,-1.8888888888888888,34.77777777777778,WATCH,42,22,-0.03082213191622385,-0.05974404075938622,0.0033656957928802633,0.1083676922710266,0.010552977324955096,0.009125783771538937,-0.0734010759115361,0.23528474288142798,True,etf_core,Mixed factor profile; monitor for stronger confirmation,45,MIXED,LOW,30
TLT.US,TLT,etf,2026-04-02,86.79,16.333333333333332,18.77777777777778,-1.3333333333333333,33.77777777777778,WATCH,43,23,-0.022745186352888136,-0.005614115490375715,-0.02679973088136356,-0.04434612750420075,0.00848231324661244,0.006853424210859178,-0.05834383957885325,0.037425740207269964,True,etf_core,Mixed factor profile; monitor for stronger confirmation,50,MIXED,LOW,30
USMV.US,USMV,etf,2026-04-02,93.36,15.88888888888889,18.666666666666668,-0.9444444444444444,33.611111111111114,WATCH,44,24,-0.03563681437867994,-0.012585933368588043,-0.016020236087689654,-0.00245752751362327,0.007036876236785152,0.005783780192679006,-0.04549637051426236,0.0929524701475064,True,etf_core,Mixed factor profile; monitor for stronger confirmation,50,MIXED,LOW,30
